,Publication Category,Publication Year,PMID,DOI,Authors,Title,Journal,Short Citation
1304,Journal Article,2013,23347725,,Clark SM; Vaitheeswaran V; Ambrose SJ; Purves RW; Page JE,Transcriptome analysis of bitter acid biosynthesis and precursor pathways in hop (Humulus lupulus).,,BMC Plant Biol. 2013 Jan 24;13:12.  10.1186/1471-2229-13-12.
1305,Journal Article,2013,23348673,,Voordouw G,Interaction of oil sands tailings particles with polymers and microbial cells: First steps toward reclamation to soil.,Biopolymers,Biopolymers. 2013 Apr;99(4):257-62.  10.1002/bip.22156.
1306,Journal Article,2013,23351128,,Pavy N; Gagnon F; Rigault P; Blais S; Deschenes A; Boyle B; Pelgas B; Deslauriers M; Clement S; Lavigne P; Lamothe M; Cooke JE; Jaramillo-Correa JP; Beaulieu J; Isabel N; Mackay J; Bousquet J,Development of high-density SNP genotyping arrays for white spruce (Picea glauca) and transferability to subtropical and nordic congeners.,,Mol Ecol Resour. 2013 Mar;13(2):324-36.  10.1111/1755-0998.12062. Epub 2013 Jan 25.
1307,Journal Article,2013,23363554,,"Dove ES, Avard D, Black L, Knoppers BM.",Emerging issues in paediatric health research consent forms in Canada: working towards best practices.,BMC Medical Ethics,BMC Med Ethics. 2013 Jan 30;14:5.  10.1186/1472-6939-14-5.
1308,Journal Article,2013,23368516,,Durno WE; Hanson NW; Konwar KM; Hallam SJ,Expanding the boundaries of local similarity analysis.,,BMC Genomics. 2013;14 Suppl 1:S3.  10.1186/1471-2164-14-S1-S3. Epub 2013 Jan 21.
1309,Journal Article,2013,23370450,,Fernandez CV; Strahlendorf C; Avard D; Knoppers BM; O'Connell C; Bouffet E; Malkin D; Jabado N; Boycott K; Sorensen PH,Attitudes of Canadian researchers toward the return to participants of incidental and targeted genomic findings obtained in a pediatric research setting.,,Genet Med. 2013 Jul;15(7):558-64.  10.1038/gim.2012.183. Epub 2013 Jan 31.
1310,Journal Article,2013,23370714,,Hall DE; Zerbe P; Jancsik S; Quesada AL; Dullat H; Madilao LL; Yuen M; Bohlmann J;,Evolution of conifer diterpene synthases: diterpene resin acid biosynthesis in lodgepole pine and jack pine involves monofunctional and bifunctional diterpene synthases.,Plant Physiology,Plant Physiol. 2013 Feb;161(2):600-16.  10.1104/pp.112.208546. Epub 2012 Dec 12.
1311,Journal Article,2013,23373753,,Li L; Li R; Zhou J; Zuniga A; Stanislaus AE; Wu Y; Huan T; Zheng J; Shi Y; Wishart DS; Lin G;,MyCompoundID: using an evidence-based metabolome library for metabolite identification.,a - other journal,Anal Chem. 2013 Mar 19;85(6):3401-8.  10.1021/ac400099b. Epub 2013 Mar 6.
1312,Journal Article,2013,23385146,,Hagel JM; Facchini PJ,Benzylisoquinoline alkaloid metabolism: a century of discovery and a brave new world.,,Plant Cell Physiol. 2013 May;54(5):647-72.  10.1093/pcp/pct020. Epub 2013 Feb 5.
1313,Journal Article,2013,23389780,,"Singleton AB, Farrer MJ, Bonifati V.",The genetics of Parkinson's disease: progress and therapeutic implications.,Movement Disorders,Mov Disord. 2013 Jan;28(1):14-23.  10.1002/mds.25249.
1314,Journal Article,2013,23396282,,"Aghaeepour N, Finak G, FlowCAP Consortium., DREAM Consortium., Hoos H, Mosmann TR, Brinkman R, Gottardo R, Scheuermann RH",Critical assessment of automated flow cytometry data analysis techniques.,Nature Methods,Nat Methods. 2013 Mar;10(3):3.  10.1038/nmeth.2365
1315,Journal Article,2013,23396333,,Skyba O; Douglas CJ; Mansfield SD,Syringyl-rich lignin renders poplars more resistant to degradation by wood decay fungi.,,Appl Environ Microbiol. 2013 Apr;79(8):2560-71.  10.1128/AEM.03182-12. Epub 2013 Feb 8.
1316,Journal Article,2013,23401405,,"Azad MB, Konya T, Maughan H, Guttman DS, Field CJ, Chari RS, Sears MR, Becker AB, Scott JA, Kozyrskyj AL, CHILD Study Investigators.",Gut microbiota of healthy Canadian infants: profiles by mode of delivery and infant diet at 4 months.,Canadian Medical Association Journal,CMAJ. 2013 Mar 19;185(5):5.  10.1503/cmaj.121189
1317,Journal Article,2013,23414386,,Reid JN; Bisanz JE; Monachese M; Burton JP; Reid G,The rationale for probiotics improving reproductive health and pregnancy outcome.,,Am J Reprod Immunol. 2013 Jun;69(6):558-66.  10.1111/aji.12086. Epub 2013 Feb 18.
1318,Journal Article,2013,23417712,,Fontebasso AM; Schwartzentruber J; Khuong-Quang DA; Liu XY; Sturm D; Korshunov A; Jones DT; Witt H; Kool M; Albrecht S; Fleming A; Hadjadj D; Busche S; Lepage P; Montpetit A; Staffa A; Gerges N; Zakrzewska M; Zakrzewski K; Liberski PP; Hauser P; Garami M; Klekner A; Bognar L; Zadeh G; Faury D; Pfister SM; Jabado N; Majewski J.,Mutations in SETD2 and genes affecting histone H3K36 methylation target hemispheric high-grade gliomas.,Acta Neuropathologica,Acta Neuropathol. 2013 May;125(5):659-69.  10.1007/s00401-013-1095-8. Epub 2013 Feb 16.
1319,Journal Article,2013,23423984,,Samuels ME; Majewski J; Alirezaie N; Fernandez I; Casals F; Patey N; Decaluwe H; Gosselin I; Haddad E; Hodgkinson A; Idaghdour Y; Marchand V; Michaud JL; Rodrigue MA; Desjardins S; Dubois S; Le Deist F; Awadalla P; Raymond V; Maranda B,Exome sequencing identifies mutations in the gene TTC7A in French-Canadian cases with hereditary multiple intestinal atresia.,,J Med Genet. 2013 May;50(5):324-9.  10.1136/jmedgenet-2012-101483. Epub 2013 Feb 19.
1320,Journal Article,2013,23427916,,Garcia-Bailo B; Jamnik J; Da Costa LA; Borchers CH; Badawi A; El-Sohemy A,"Plasma 25-hydroxyvitamin D, hormonal contraceptive use, and the plasma proteome in Caucasian, East Asian, and South Asian young adults.",,J Proteome Res. 2013 Apr 5;12(4):1797-807.  10.1021/pr4001042. Epub 2013 Mar 6.
1321,Journal Article,2013,23429702,,Kim JH; Resende R; Wennekes T; Chen HM; Bance N; Buchini S; Watts AG; Pilling P; Streltsov VA; Petric M; Liggins R; Barrett S; McKimm-Breschkin JL; Niikura M; Withers SG,Mechanism-based covalent neuraminidase inhibitors with broad-spectrum influenza antiviral activity.,,Science. 2013 Apr 5;340(6128):71-5.  10.1126/science.1232552. Epub 2013 Feb 21.
1322,Journal Article,2013,23432510,,Hart MW;,Structure and evolution of the sea star egg receptor for sperm bindin.,Molecular Ecology,Mol Ecol. 2013 Apr;22(8):2143-56.  10.1111/mec.12251. Epub 2013 Feb 22.
1323,Journal Article,2013,23432647,,Fontebasso AM; Liu XY; Sturm D; Jabado N,Chromatin remodeling defects in pediatric and young adult glioblastoma: a tale of a variant histone 3 tail.,Brain Pathology,Brain Pathol. 2013 Mar;23(2):210-6.  10.1111/bpa.12023.
1324,Journal Article,2013,23441093,,Visscher H; Ross CJ; Rassekh SR; Sandor GS; Caron HN; van Dalen EC; Kremer LC; van der Pal HJ; Rogers PC; Rieder MJ; Carleton BC; Hayden MR; CPNDS Consortium,Validation of variants in SLC28A3 and UGT1A6 as genetic markers predictive of anthracycline-induced cardiotoxicity in children.,Pediatric Blood and Cancer,Pediatr Blood Cancer. 2013 Aug;60(8):1375-81.  10.1002/pbc.24505. Epub 2013 Feb 25.
1325,Journal Article,2013,23443629,,Smith LM; Kelleher NL,Proteoform: a single term describing protein complexity.,,Nat Methods. 2013 Mar;10(3):186-7.  10.1038/nmeth.2369.
1326,Journal Article,2013,23450093,,Tsui CK; DiGuistini S; Wang Y; Feau N; Dhillon B; Bohlmann J; Hamelin RC;,Unequal recombination and evolution of the mating-type (MAT) loci in the pathogenic fungus Grosmannia clavigera and relatives.,a - other journal,G3 (Bethesda). 2013 Mar;3(3):465-80.  10.1534/g3.112.004986. Epub 2013 Mar 1.
1327,Journal Article,2013,23457019,,"Appel-Cresswell S, Vilarino-Guell C, Encarnacion M, Sherman H, Yu I, Shah B, Weir D, Thompson C, Szu-Tu C, Trinh J, Aasly JO, Rajput A, Rajput AH, Jon Stoessl A, Farrer MJ.","Alpha-synuclein p.H50Q, a novel pathogenic mutation for Parkinson's disease.",Movement Disorders,Mov Disord. 2013 Jun;28(6):811-3.  10.1002/mds.25421.
1328,Journal Article,2013,23460611,,Trinh DL; Scott DW; Morin RD; Mendez-Lago M; An J; Jones SJ; Mungall AJ; Zhao Y; Schein J; Steidl C; Connors JM; Gascoyne RD; Marra MA;,Analysis of FOXO1 mutations in diffuse large B-cell lymphoma.,Blood,Blood. 2013 May 2;121(18):3666-74.  10.1182/blood-2013-01-479865. Epub 2013 Mar 4.
1329,Journal Article,2013,23470490,,Robillard JM; Whiteley L; Johnson TW; Lim J; Wasserman WW; Illes J,Utilizing Social Media to Study Information-Seeking and Ethical Issues in Gene Therapy.,,J Med Internet Res. 2013;15(3):e44.
1330,Journal Article,2013,23471065,,Bubela T; Gold ER; Graff GD; Cahoy DR; Nicol D; Castle D,Patent landscaping for life sciences innovation: toward consistent and transparent practices.,,Nat Biotechnol. 2013 Mar;31(3):202-6.  10.1038/nbt.2521.
1331,Journal Article,2013,23483771,,"Black L, Batist G, Avard D, Rousseau C, Diaz Z, Knoppers BM.",Physician recruitment of patients to non-therapeutic oncology clinical trials: ethics revisited.,Frontiers in Pharmacology,Front Pharmacol. 2013 Mar 11;4:25.  10.3389/fphar.2013.00025
1332,Journal Article,2013,23500134,,Eisen D; Planatscher H; Hardie DB; Kraushaar U; Pynn CJ; Stoll D; Borchers C; Joos TO; Poetz O;,G protein-coupled receptor quantification using peptide group-specific enrichment combined with internal peptide standard reporter calibration.,Journal of Proteomics,J Proteomics. 2013 Sep 2;90:85-95.  10.1016/j.jprot.2013.02.017. Epub 2013 Mar 14.
1333,Journal Article,2013,23505261,,Alberto FJ; Aitken SN; Alia R; Gonzalez-Martinez SC; Hanninen H; Kremer A; Lefevre F; Lenormand T; Yeaman S; Whetten R; Savolainen O,Potential for evolutionary responses to climate change - evidence from tree populations.,,Glob Chang Biol. 2013 Jun;19(6):1645-61.  10.1111/gcb.12181. Epub 2013 Apr 3.
1334,Journal Article,2013,23511632,,"Tonkin ML, Arredondo SA, Loveless BC, Serpa JJ, Makepeace KA, Sundar N, Petrotchenko EV, Miller LH, Grigg ME, Boulanger MJ.",Structural and biochemical characterization of Plasmodium falciparum 12 (Pf12) reveals a unique interdomain organization and the potential for an antiparallel arrangement with Pf41.,Journal of Biological Chemistry,J Biol Chem. 2013 May 3;288(18):12805-17.  10.1074/jbc.M113.455667.
1335,Journal Article,2013,23517120,,Andersson MN; Grosse-Wilde E; Keeling CI; Bengtsson JM; Yuen MM; Li M; Hillbur Y; Bohlmann J; Hansson BS; Schlyter F;,"Antennal transcriptome analysis of the chemosensory gene families in the tree killing bark beetles, Ips typographus and Dendroctonus ponderosae (Coleoptera: Curculionidae: Scolytinae).",BMC Genomics,BMC Genomics. 2013 Mar 21;14:198.  10.1186/1471-2164-14-198.
1336,Journal Article,2013,23519028,,Bogdanik LP; Sleigh JN; Tian C; Samuels ME; Bedard K; Seburn KL; Burgess RW,Loss of the E3 ubiquitin ligase LRSAM1 sensitizes peripheral axons to degeneration in a mouse model of Charcot-Marie-Tooth disease.,,Dis Model Mech. 2013 May;6(3):780-92.  10.1242/dmm.010942. Epub 2013 Mar 8.
1337,Journal Article,2013,23527145,,Anukam KC; Macklaim JM; Gloor GB; Reid G; Boekhorst J; Renckens B; van Hijum SA; Siezen RJ,Genome sequence of Lactobacillus pentosus KCA1: vaginal isolate from a healthy premenopausal woman.,,PLoS One. 2013;8(3):e59239.  10.1371/journal.pone.0059239. Epub 2013 Mar 19.
1338,Journal Article,2013,23529868,,Rassekh SR; Ross CJ; Carleton BC; Hayden MR,Cancer pharmacogenomics in children: research initiatives and progress to date.,,Paediatr Drugs. 2013 Apr;15(2):71-81.  10.1007/s40272-013-0021-9.
1339,Journal Article,2013,23535240,,Bahado-Singh RO; Akolekar R; Chelliah A; Mandal R; Dong E; Kruger M; Wishart DS; Nicolaides K;,Metabolomic analysis for first-trimester trisomy 18 detection.,a - other journal,Am J Obstet Gynecol. 2013 Jul;209(1):65.e1-9.  10.1016/j.ajog.2013.03.028. Epub 2013 Mar 25.
1340,Journal Article,2013,23537049,,Keeling CI; Yuen MM; Liao NY; Roderick Docking T; Chan SK; Taylor GA; Palmquist DL; Jackman SD; Nguyen A; Li M; Henderson H; Janes JK; Zhao Y; Pandoh P; Moore R; Sperling FA; W Huber DP; Birol I; Jones SJ; Bohlmann J;,"Draft genome of the mountain pine beetle, Dendroctonus ponderosae Hopkins, a major forest pest.",Genome Biology,Genome Biol. 2013 Mar 27;14(3):R27.
1341,Journal Article,2013,23542624,,Adams AS; Aylward FO; Adams SM; Erbilgin N; Aukema BH; Currie CR; Suen G; Raffa KF;,Mountain pine beetles colonizing historical and naive host trees are associated with a bacterial community highly enriched in genes contributing to terpene metabolism.,Applied and Environmental Microbiology,Appl Environ Microbiol. 2013 Jun;79(11):3468-75.  10.1128/AEM.00068-13. Epub 2013 Mar 29.
1342,Journal Article,2013,23542699,,McDonell LM; Mirzaa GM; Alcantara D; Schwartzentruber J; Carter MT; Lee LJ; Clericuzio CL; Graham JM Jr; Morris-Rosendahl DJ; Polster T; Acsadi G; Townshend S; Williams S; Halbert A; Isidor B; David A; Smyser CD; Paciorkowski AR; Willing M; Woulfe J; Das S; Beaulieu CL; Marcadier J; Geraghty MT; Frey BJ; Majewski J; Bulman DE; Dobyns WB; O'Driscoll M; Boycott KM,"Mutations in STAMBP, encoding a deubiquitinating enzyme, cause microcephaly-capillary malformation syndrome.",,Nat Genet. 2013 May;45(5):556-62.  10.1038/ng.2602. Epub 2013 Mar 31.
1343,Journal Article,2013,23543913,,Xia J; Broadhurst DI; Wilson M; Wishart DS,Translational biomarker discovery in clinical metabolomics: an introductory tutorial.,,Metabolomics. 2013 Apr;9(2):280-299. Epub 2012 Dec 4.
1344,Journal Article,2013,23555290,,Mandel JR; Nambeesan S; Bowers JE; Marek LF; Ebert D; Rieseberg LH; Knapp SJ; Burke JM,Association mapping and the genomic consequences of selection in sunflower.,,PLoS Genet. 2013 Mar;9(3):e1003378.  10.1371/journal.pgen.1003378. Epub 2013 Mar 21.
1345,Journal Article,2013,23566025,,Nyakas A; Han J; Peru KM; Headley JV; Borchers CH,Comprehensive analysis of oil sands processed water by direct-infusion Fourier-transform ion cyclotron resonance mass spectrometry with and without offline UHPLC sample prefractionation.,,Environ Sci Technol. 2013 May 7;47(9):4471-9.  10.1021/es400813s. Epub 2013 Apr 22.
1346,Journal Article,2013,23580203,,Han J; Gagnon S; Eckle T; Borchers CH,Metabolomic analysis of key central carbon metabolism carboxylic acids as their 3-nitrophenylhydrazones by UPLC/ESI-MS.,,Electrophoresis. 2013 Oct;34(19):2891-900.  10.1002/elps.201200601. Epub 2013 Jul 8.
1347,Journal Article,2013,23585092,,Percy AJ; Chambers AG; Parker CE; Borchers CH,Absolute quantitation of proteins in human blood by multiplexed multiple reaction monitoring mass spectrometry.,,Methods Mol Biol. 2013;1000:167-89.  10.1007/978-1-62703-405-0_13.
1348,Journal Article,2014,23588107,,Aminkeng F; Ross CJ; Rassekh SR; Brunham LR; Sistonen J; Dube MP; Ibrahim M; Nyambo TB; Omar SA; Froment A; Bodo JM; Tishkoff S; Carleton BC; Hayden MR,"Higher frequency of genetic variants conferring increased risk for ADRs for commonly used drugs treating cancer, AIDS and tuberculosis in persons of African descent.",,Pharmacogenomics J. 2014 Apr;14(2):160-70.  10.1038/tpj.2013.13. Epub 2013 Apr 16.
1349,Journal Article,2013,23588304,,Pussegoda K; Ross CJ; Visscher H; Yazdanpanah M; Brooks B; Rassekh SR; Zada YF; Dube MP; Carleton BC; Hayden MR,Replication of TPMT and ABCC3 genetic variants highly associated with cisplatin-induced hearing loss in children.,,Clin Pharmacol Ther. 2013 Aug;94(2):243-51.  10.1038/clpt.2013.80. Epub 2013 Apr 10.
1350,Journal Article,2013,23588310,,"Amstutz U, Ross CJ, Castro-Pastrana LI, Rieder MJ, Shear NH, Hayden MR, Carleton BC; CPNDS Consortium.",HLA-A 31:01 and HLA-B 15:02 as genetic markers for carbamazepine hypersensitivity in children.,Clinical Pharmacology & Therapeutics,Clin Pharmacol Ther. 2013 Jul;94(1):142-9.  10.1038/clpt.2013.55.
1351,Journal Article,2013,23592487,,Percy AJ; Chambers AG; Yang J; Borchers CH,Multiplexed MRM-based quantitation of candidate cancer biomarker proteins in undepleted and non-enriched human plasma.,,Proteomics. 2013 Jul;13(14):2202-15.  10.1002/pmic.201200316. Epub 2013 Jun 6.
1352,Journal Article,2013,23592955,,Cohen Freue GV; Meredith A; Smith D; Bergman A; Sasaki M; Lam KK; Hollander Z; Opushneva N; Takhar M; Lin D; Wilson-McManus J; Balshaw R; Keown PA; Borchers CH; McManus B; Ng RT; McMaster WR;,Computational biomarker pipeline from discovery to clinical implementation: plasma proteomic biomarkers for cardiac transplantation.,PLOS Computational Biology,PLoS Comput Biol. 2013 Apr;9(4):e1002963.  10.1371/journal.pcbi.1002963. Epub 2013 Apr 4.
1353,Journal Article,2013,23601418,,Smyth SJ; Kerr WA; Phillips PW,Accelerating adoption of genetically modified crops in Africa through a trade liability regime.,,Plant Biotechnol J. 2013 Jun;11(5):527-34.  10.1111/pbi.12070. Epub 2013 Apr 22.
1354,Journal Article,2013,23602801,,Xiao M; Zhang Y; Chen X; Lee EJ; Barber CJ; Chakrabarty R; Desgagne-Penix I; Haslam TM; Kim YB; Liu E; MacNevin G; Masada-Atsumi S; Reed DW; Stout JM; Zerbe P; Zhang Y; Bohlmann J; Covello PS; De Luca V; Page JE; Ro DK; Martin VJ; Facchini PJ; Sensen CW,Transcriptome analysis based on next-generation sequencing of non-model plants producing specialized metabolites of biotechnological interest.,,J Biotechnol. 2013 Jul 10;166(3):122-34.  10.1016/j.jbiotec.2013.04.004. Epub 2013 Apr 16.
1355,Journal Article,2013,23610436,,Yeaman S,Genomic rearrangements and the evolution of clusters of locally adaptive loci.,,Proc Natl Acad Sci U S A. 2013 May 7;110(19):E1743-51.  10.1073/pnas.1219381110. Epub 2013 Apr 22.
1356,Journal Article,2013,23613273,,Zerbe P; Hamberger B; Yuen MM; Chiang A; Sandhu HK; Madilao LL; Nguyen A; Hamberger B; Bach SS; Bohlmann J,Gene discovery of modular diterpene metabolism in nonmodel systems.,,Plant Physiol. 2013 Jun;162(2):1073-91.  10.1104/pp.113.218347. Epub 2013 Apr 23.
1357,Journal Article,2013,23621916,,Beaulieu CL; Huang L; Innes AM; Akimenko MA; Puffenberger EG; Schwartz C; Jerry P; Ober C; Hegele RA; McLeod DR; Schwartzentruber J; Majewski J; Bulman DE; Parboosingh JS; Boycott KM,Intellectual disability associated with a homozygous missense mutation in THOC6.,,Orphanet J Rare Dis. 2013 Apr 26;8(1):62.
1358,Journal Article,2013,23621943,,Nikkel SM; Dauber A; de Munnik S; Connolly M; Hood RL; Caluseriu O; Hurst J; Kini U; Nowaczyk MJ; Afenjar A; Albrecht B; Allanson JE; Balestri P; Ben-Omran T; Brancati F; Cordeiro I; da Cunha BS; Delaney LA; Destree A; Fitzpatrick D; Forzano F; Ghali N; Gillies G; Harwood K; Hendriks YM; Heron D; Hoischen A; Honey EM; Hoefsloot LH; Ibrahim J; Jacob CM; Kant SG; Kim CA; Kirk EP; Knoers NV; Lacombe D; Lee C; Lo IF; Lucas LS; Mari F; Mericq V; Moilanen JS; Moller ST; Moortgat S; Pilz DT; Pope K; Price S; Renieri A; Sa J; Schoots J; Silveira EL; Simon ME; Slavotinek A; Temple IK; van der Burgt I; de Vries BB; Weisfeld-Adams JD; Whiteford ML; Wierczorek D; Wit JM; Yee CF; Beaulieu CL; White SM; Bulman DE; Bongers E; Brunner H; Feingold M; Boycott KM,The phenotype of floating-harbor syndrome: clinical characterization of 52 individuals with mutations in exon 34 of SRCAP.,,Orphanet J Rare Dis. 2013 Apr 27;8(1):63.
1359,Journal Article,2013,23636887,,Girdea M; Dumitriu S; Fiume M; Bowdin S; Boycott KM; Chenier S; Chitayat D; Faghfoury H; Meyn MS; Ray PN; So J; Stavropoulos DJ; Brudno M,PhenoTips: patient phenotyping software for clinical and research use.,,Hum Mutat. 2013 Aug;34(8):1057-65.  10.1002/humu.22347. Epub 2013 May 24.
1360,Journal Article,2013,23639001,,Du YL; Ding T; Ryan KS.,Biosynthetic O-methylation protects cladoniamides from self-destruction.,Organic Letters,Org Lett. 2013 May 17;15(10):2538-41.  10.1021/ol401036f. Epub 2013 May 2.
1361,Journal Article,2013,23647107,,Headley JV; Peru KM; Mohamed MH; Frank RA; Martin JW; Hazewinkel RR; Humphries D; Gurprasad NP; Hewitt LM; Muir DC; Lindeman D; Strub R; Young RF; Grewer DM; Whittal RM; Fedorak PM; Birkholz DA; Hindle R; Reisdorph R; Wang X; Kasperski KL; Hamilton C; Woudneh M; Wang G; Loescher B; Farwell A; Dixon DG; Ross M; Pereira Ados S; King E; Barrow MP; Fahlman B; Bailey J; McMartin DW; Borchers CH; Ryan CH; Toor NS; Gillis HM; Zuin L; Bickerton G; Mcmaster M; Sverko E; Shang D; Wilson LD; Wrona FJ,Chemical fingerprinting of naphthenic acids and oil sands process waters-A review of analytical methods for environmental samples.,,J Environ Sci Health A Tox Hazard Subst Environ Eng. 2013;48(10):1145-63.  10.1080/10934529.2013.776332.
1362,Journal Article,2013,23651561,,Lemay MA; Donnelly DJ; Russello MA;,Transcriptome-wide comparison of sequence variation in divergent ecotypes of kokanee salmon.,BMC Genomics,BMC Genomics. 2013 May 7;14:308.  10.1186/1471-2164-14-308.
1363,Journal Article,2013,23652015,,Renaut S; Grassa CJ; Yeaman S; Moyers BT; Lai Z; Kane NC; Bowers JE; Burke JM; Rieseberg LH,Genomic islands of divergence are not affected by geography of speciation in sunflowers.,,Nat Commun. 2013;4:1827.  10.1038/ncomms2833.
1364,Journal Article,2013,23663654,,Lemay MA; Henry P; Lamb CT; Robson KM; Russello MA;,Novel genomic resources for a climate change sensitive mammal: characterization of the American pika transcriptome.,BMC Genomics,BMC Genomics. 2013 May 10;14:311.  10.1186/1471-2164-14-311.
1365,Journal Article,2013,23671334,,"del-Toro N, Dumousseau M, Orchard S, Jimenez RC, Galeota E, Launay G, Goll J, Breuer K, Ono K, Salwinski L, Hermjakob H.",A new reference implementation of the PSICQUIC web service.,Nucleic Acids Research,Nucleic Acids Res. 2013 Jul;41(Web Server issue):W601-6.  10.1093/nar/gkt392
1366,Journal Article,2013,23677610,,"Dhillon BK, Chiu TA, Laird MR, Langille MG, Brinkman FS.",IslandViewer update: Improved genomic island discovery and visualization.,Nucleic Acids Research,Nucleic Acids Res. 2013 Jul;41(Web Server issue):W129-32.  10.1093/nar/gkt394
1367,Journal Article,2013,23679205,,Hall DE; Yuen MM; Jancsik S; Quesada AL; Dullat HK; Li M; Henderson H; Arango-Velez A; Liao NY; Docking RT; Chan SK; Cooke JE; Breuil C; Jones SJ; Keeling CI; Bohlmann J;,"Transcriptome resources and functional characterization of monoterpene synthases for two host species of the mountain pine beetle, lodgepole pine (Pinus contorta) and jack pine (Pinus banksiana).",BMC Plant Biology,BMC Plant Biol. 2013 May 16;13:80.  10.1186/1471-2229-13-80.
1368,Journal Article,2013,23682691,,Han J; Tschernutter V; Yang J; Eckle T; Borchers CH;,Analysis of selected sugars and sugar phosphates in mouse heart tissue by reductive amination and liquid chromatography-electrospray ionization mass spectrometry.,a - other journal,Anal Chem. 2013 Jun 18;85(12):5965-73.  10.1021/ac400769g. Epub 2013 May 30.
1369,Journal Article,2013,23692528,,Luo Z; Walkey CJ; Madilao LL; Measday V; Van Vuuren HJ;,Functional improvement of Saccharomyces cerevisiae to reduce volatile acidity in wine.,Fems Yeast Research,FEMS Yeast Res. 2013 Aug;13(5):485-94.  10.1111/1567-1364.12053. Epub 2013 Jun 13.
1370,Journal Article,2013,23698360,,Nystedt B; Street NR; Wetterbom A; Zuccolo A; Lin YC; Scofield DG; Vezzi F; Delhomme N; Giacomello S; Alexeyenko A; Vicedomini R; Sahlin K; Sherwood E; Elfstrand M; Gramzow L; Holmberg K; Hallman J; Keech O; Klasson L; Koriabine M; Kucukoglu M; Kaller M; Luthman J; Lysholm F; Niittyla T; Olson A; Rilakovic N; Ritland C; Rossello JA; Sena J; Svensson T; Talavera-Lopez C; Theissen G; Tuominen H; Vanneste K; Wu ZQ; Zhang B; Zerbe P; Arvestad L; Bhalerao R; Bohlmann J; Bousquet J; Garcia Gil R; Hvidsten TR; de Jong P; MacKay J; Morgante M; Ritland K; Sundberg B; Thompson SL; Van de Peer Y; Andersson B; Nilsson O; Ingvarsson PK; Lundeberg J; Jansson S,The Norway spruce genome sequence and conifer genome evolution.,,Nature. 2013 May 30;497(7451):579-84.  10.1038/nature12211. Epub 2013 May 22.
1371,Journal Article,2013,23698863,,Birol I; Raymond A; Jackman SD; Pleasance S; Coope R; Taylor GA; Yuen MM; Keeling CI; Brand D; Vandervalk BP; Kirk H; Pandoh P; Moore RA; Zhao Y; Mungall AJ; Jaquish B; Yanchuk A; Ritland C; Boyle B; Bousquet J; Ritland K; Mackay J; Bohlmann J; Jones SJ,Assembling the 20 Gb white spruce (Picea glauca) genome from whole-genome shotgun sequencing data.,,Bioinformatics. 2013 Jun 15;29(12):1492-7.  10.1093/bioinformatics/btt178. Epub 2013 May 22.
1372,Journal Article,2013,23699601,,Morin RD; Mungall K; Pleasance E; Mungall AJ; Goya R; Huff RD; Scott DW; Ding J; Roth A; Chiu R; Corbett RD; Chan FC; Mendez-Lago M; Trinh DL; Bolger-Munro M; Taylor G; Hadj Khodabakhshi A; Ben-Neriah S; Pon J; Meissner B; Woolcock B; Farnoud N; Rogic S; Lim EL; Johnson NA; Shah S; Jones S; Steidl C; Holt R; Birol I; Moore R; Connors JM; Gascoyne RD; Marra MA,Mutational and structural analysis of diffuse large B-cell lymphoma using whole-genome sequencing.,,Blood. 2013 Aug 15;122(7):1256-65.  10.1182/blood-2013-02-483727. Epub 2013 May 22.
1373,Journal Article,2013,23701699,,Rowe HC; Rieseberg LH,Genome-scale transcriptional analyses of first-generation interspecific sunflower hybrids reveals broad regulatory compatibility.,,BMC Genomics. 2013 May 23;14:342.  10.1186/1471-2164-14-342.
1374,Journal Article,2013,23702101,,King MG; Renaut S; Rieseberg LH; Rowe HC,Genomic resources notes accepted 1 February 2013-31 March 2013.,,Mol Ecol Resour. 2013 Jul;13(4):759.  10.1111/1755-0998.12123. Epub 2013 May 23.
1375,Journal Article,2013,23724860,,Prunier J; Pelgas B; Gagnon F; Desponts M; Isabel N; Beaulieu J; Bousquet J,The genomic architecture and association genetics of adaptive characters using a candidate SNP approach in boreal black spruce.,,BMC Genomics. 2013 Jun 1;14:368.  10.1186/1471-2164-14-368.
1376,Journal Article,2013,23729780,,Hammerbacher A; Schmidt A; Wadke N; Wright LP; Schneider B; Bohlmann J; Brand WA; Fenning TM; Gershenzon J; Paetz C;,A common fungal associate of the spruce bark beetle metabolizes the stilbene defenses of Norway spruce.,Plant Physiology,Plant Physiol. 2013 Jul;162(3):1324-36.  10.1104/pp.113.218610. Epub 2013 Jun 1.
1377,Journal Article,2013,23731537,,Cheung YH; Gayden T; Campeau PM; LeDuc CA; Russo D; Nguyen VH; Guo J; Qi M; Guan Y; Albrecht S; Moroz B; Eldin KW; Lu JT; Schwartzentruber J; Malkin D; Berghuis AM; Emil S; Gibbs RA; Burk DL; Vanstone M; Lee BH; Orchard D; Boycott KM; Chung WK; Jabado N,A recurrent PDGFRB mutation causes familial infantile myofibromatosis.,,Am J Hum Genet. 2013 Jun 6;92(6):996-1000.  10.1016/j.ajhg.2013.04.026. Epub 2013 May 23.
